id вуза;Федеральный округ;Регион;Аббревиатура;Название ВУЗа;Тип вуза;Направление вуза;Официальный сайт;Адрес;Телефон приемной комиссии;Сведения о лицензии;О вузе в фифрах;Форма обучения;Международные программы;Возможность получения двойного диплома;Наличие военной кафедры;Отсрочка от армии;Внеучебная деятельность;Общежитие;Стоимость общежития по бюджету (мес);Стоимость общежития по договору (мес);Государственная академическая стипендия (мес.);Стипендия за особые успехи в учебе;Стипендия по социальным льготам;Известные выпускники
0310;Центральный ФО;г. Москва;СГЛА;Славяно-Греко-Латинская академия;Негосударственный;Религиоведение;www.sgla.ru;г. Москва, ул. Радио, д. 20;+7 (495) 778-4917;№2478 от 22.11.16;<ul><li>Первый ВУЗ в России</li><li>3 факультета</li><li>400 обучающихся ежегодно</li></ul>;;;;Нет;Нет;;Нет;;;Нет;;;
0311;Центральный ФО;Воронежская область;ВИВТ;Воронежский институт высоких технологий;Негосударственный;Технологии и технические науки;www.vivt.ru;г. Воронеж, ул. Ленина, д. 73а;+7 (473) 220-56-05;№1636 от 08.09.15;<ul><li>12 стран-партнеров</li><li>4 направления подготовки</li><li>6 научных центров</li></ul>;;;;Нет;Есть;;Нет;;;Нет;;;
0312;Центральный ФО;Воронежская область;МИКТ;Международный институт компьютерных технологий;Негосударственный;Технологии и технические науки;www.iict.ru;г. Воронеж, ул. Солнечная, д. 29Б;+7 (203) 239-25-01 ;№1805 от 08.12.15;<ul><li>80 преподавателей</li><li>3 факультета</li><li>6+ научных центров</li></ul>;;;;Нет;Есть;;Есть;;;2 800 — 4 200 ₽;;;
0313;Центральный ФО;г. Москва;МПИ;Московский православный институт святого Иоанна Богослова;Негосударственный;Религиоведение;www.мпи.рф;г. Москва, пер. Чернышевского, д. 11А;+7 (495) 626-22-25;№2266 от 13.07.16;<ul><li>1993 год основания</li><li>5 факультетов</li><li>8 направлений подготовки</li><li>Отделение церковной журналистики</li><li>Студенческое научное общество</li></ul>;;;;Нет;Есть;;Нет;;;Нет;;;
0314;Центральный ФО;г. Москва;МСПИ;Московский социально-педагогический институт;Негосударственный;Педагогические науки и психология;www.mspi.edu.ru;г. Москва, ул. Фридриха Энгельса, д. 75, стр. 3;+7 (499) 963-80-71;№1324 от 18.03.15;<ul><li>1996 год основания</li><li>4 факультета</li><li>14 направлений подготовки</li><li>15 зарубежных вузов-партнеров</li><li>10 направлений программ международных стажировок</li></ul>;;;;Нет;Есть;;Нет;;;Нет;;;
0315;Центральный ФО;Воронежская область;ВИЭСУ;Воронежский институт экономики и социального управления;Негосударственный;Гуманитарные науки;www.viesm.vrn.ru;г. Воронеж, ул.Помяловского, д. 27;+7 (473) 255-34-70;№1777 от 23.11.15;<ul><li>4 факультета</li><li>6 кафедр</li><li>80 % преподавателей имеют ученые степени и звания</li></ul>;;;;Нет;Есть;;Нет;;;Нет;;;
0316;Центральный ФО;г. Москва;ГИТР;Институт кино и телевидения;Негосударственный;Гуманитарные науки;www.gitr.ru;г. Москва, Хорошевское ш., д. 32А;+7 (495) 787-65-11;№2735 от 23.04.18;"<ul>
<li>3 компьютерных класса</li>
<li>30 автономных станций для монтажа и выхода в Интернет</li>
<li>1 библиотека</li>
<li>7 факультетов</li>
<li>8 кафедр</li>
</ul>";;;;Нет;Есть;;Есть;;;6 500 — 10 000 ₽;;;
0317;Центральный ФО;г. Москва;ИСИ;Институт современного искусства;Негосударственный;Культура и искусство;www.isi-vuz.ru ;г. Москва, ул. Новозаводская, д. 27а;+7 (495) 236-88-78;№2560 от 16.03.17;<ul> <li>3500 дипломированных специалистов</li> <li>29 образовательных программ высшего образования</li> <li>8 укрупненных групп направлений подготовки всех уровней</li> </ul>;;;;Нет;Есть;;Нет;;;Нет;;;
0318;Центральный ФО;г. Москва;МосГУ;Московский гуманитарный университет;Негосударственный;Гуманитарные науки;www.mosgu.ru;г. Москва, ул. Юности, д. 5;+7 (499) 374-51-61;№1709 от 13.10.15;"<ul>
<li>3 формы обучения</li>
<li>6 крупных факультетов</li>
<li>Более 300 преподавателей</li>
<li>4 корпуса общежития</li>
<li>Спорткомплекс</li>
</ul>";;;;Нет;Есть;;Есть;;;Нет;;;
0319;Центральный ФО;г. Москва;ИТИ им.П.М.Ершова;Институт театрального искусства им. П.М. Ершова;Негосударственный;Культура и искусство;www.artershov.ru;г. Москва, ул. Новогиреевская, д. 14А;+7 (495) 305-17-87;№2106 от 10.08.09;<ul><li>2001 год основания</li><li>2 направления подготовки</li><li>8 направлений дополнительного образования</li><li>лаборатория исследования высших механизмов творчества «GENIUS»</li><li>Театр-Лаборатория «KLIKs»</li></ul>;;;;Нет;Есть;;Нет;;;Нет;;;
0320;Северо-Западный ФО;г. Санкт-Петербург;ИИЯ в г.Санкт-Петербург;Институт иностранных языков;Негосударственный;Гуманитарные науки;www.ifl.ru;г. Санкт-Петербург, 12-я линия Васильевского Острова, д. 13;"+7 (812) 320-97-73
";№2391 от 19.09.16;<ul><li>2 ведущих факультета</li><li>12 место в своей категории по показателям финансово-хозяйственной деятельности<li></ul>;;;;Нет;Есть;;Нет;;;Нет;;;
0321;Северо-Западный ФО;г. Санкт-Петербург;ИПП;Институт правоведения и предпринимательства;Негосударственный;Гуманитарные науки;www.иппспб.рф;г. Санкт-Петербург, г. Пушкин, ул. Малая, д. 8;+7 (812) 465-68-84;№1723 от 28.10.15;<ul><li>4 факультета</li><li>большая научная библиотека<li></ul>;;;;Нет;Есть;;Есть;;;Нет;;;
0322;Северо-Западный ФО;г. Санкт-Петербург;ИСПиП;Институт специальной педагогики и психологии им.Рауля Валленберга;Негосударственный;Педагогические науки и психология;www.wallenberg.ru;г. Санкт-Петербург, ул. Большая Озерная, д. 92;+7 (812) 596-23-01;№1458 от 28.05.15;<ul><li>1993 - год основания</li><li>есть программа специалитета<li></ul>;;;;Нет;Есть;;Нет;;;Нет;;;
0324;Северо-Кавказский ФО;Республика Дагестан;ДГУ;Дагестанский Государственный университет;Государственный;Широкий профиль;www.dgu.ru;г. Махачкала, ул. Магомеда Гаджиева, д. 43А;+7 (8722) 56-21-16;№2104 от 21.04.16;"<ul><li>4 филиала;</li><li>3 000 преподавателей;</li><li>17 факультетов;</li></ul>";В ДГУ действует модульно-рейтинговая система обучения, которая позволяет распределять нагрузку в течение семестра, а также стимулировать успеваемость студентов.;Есть;Нет;Нет;Есть;В ДГУ поддерживается пропаганда здорового образа жизни, поэтому студенты занимаются в разных спортивных секциях, участвуют в соревнованиях и конкурсах. Также есть студенческие обединения, в которых можно развить свой потенциал в творческой или научной направленностях.;Есть;60;3200;1572;;2358;<ul><li>Алиев Муху Гимбатович*Первый президент Республики Дагестан</li><li>Мунчаев Рауф Магомедович*Директор Института археологии</li></ul>
0325;Центральный ФО;г. Москва;МЭИ;Московский экономический институт;Негосударственный;Гуманитарные науки;www.noumei.ru;г. Москва, ул. Артюхиной, д. 6, корп. 1;7 (495) 374-81-31;№2423 от 05.10.16;<ul><li>2 партнера</li><li>8 направлений подготовки</li><li>2 корпуса</li></ul>;В МЭИ действует стандартная форма обучения: 2 сессии, зимой и летом.;Нет;Нет;Нет;Есть;Серьезный акцент сделан на развитие и пропаганду спорта и здорового образа жизни. Создана Школа дзюдо, возглавляемая мастером спорта России международного класса, участником Олимпийских игр 2008 года Алимом Гадановым. Регулярно проводятся различные спортивные соревнования. С 2016 года в МЭИ запущен уникальный проект «Урок физкультуры с Олимпийским чемпионом». Организуются встречи с яркими представителями медиасферы. Студенты МЭИ регулярно посещают музеи, выставки, театры, Госдуму и Общественную Палату, участвуют в экскурсионных поездках по России.;Нет;;;;;;
0326;Уральский ФО;Тюменская область;ТюмГУ;Тюменский государственный университет;Государственный;Широкий профиль;www.utmn.ru;г. Тюмень, ул. Ленина, д. 25;+7 (3452) 59-77-59;№2481  от 22.11.16;"<ul><li>27 000 студентов;</li><li>1 900 иностранных студентов;</li><li>175 направлений подготовки;</li></ul>";В ТюмГУ действует рейтинговая система успеваемости.;Есть;Есть;Нет;Есть;В ТюмГУ студенты принимают участие в спортивных и творческих секциях. Существует студенческий медиацентр, студенческие отряды. Также в ТюмГУ проводятся конкурсы и фестивали. ;Есть;523 — 670 ₽;523 — 670 ₽;2 000 — 3 700 ₽;до 9 000 ₽;от 3000 ₽;<ul><li>Артюхов Дмитрий Андреевич*Временно исполняющий обязанности Губернатора Ямало-Ненецкого автономного округа</li><li>Ракова Анастасия Владимировна*Заместитель мэра Москвы</li></ul>
0327;Южный ФО;Ростовская область;Донской ГТУ;Донской государственный технический университет;Государственный;Технологии и технические науки;www.donstu.ru;г. Ростов-на-Дону, пл. Гагарина, д. 1;+7 (863) 273-85-66;№2245 от 27.06.16;"<ul><li>46 000 студентов;</li><li>24 факультета;</li><li>1 000 иностранных студентов;</li></ul>";В ДГТУ действует рейтинговая система успеваемости.;Есть;Есть;Есть;Есть;В ДГТУ существует 10 студенческих отрядов. Их деятельность очень разнообразная: от спортивных и творческих объединений до отрядов спасателей и сервиса. Каждый желающий может развить свои сильные стороны, получить новые навыки. Регулярно в ДГТУ устраиваются фестивали, конкурсы, соревнования, а также научные конференции.;Есть;790 — 2 410 ₽;790 — 2 410 ₽;1 600 — 3 500 ₽;;2 500 - 10 500 ₽;<ul><li>Бурцев Александр Юрьевич*Генеральный продюсер «Дебошир Фильм Фестиваля»</li><li>Акулова Светлана Владимировна*Генеральный директор ГАУ «Московский зоопарк»</li></ul>
